Horodatage;Temperature;Densité;Viscosité_dynamique;Humidite;Ecart_de_viscosité;4_µm;5_µm;6_µm;10_µm;12_µm;14_µm;20_µm;21_µm;25_µm;30_µm;38_µm;50_µm;60_µm;70_µm;100_µm;200_µm;Total_de_particules
00:22;25.44784927;867.4902344;29.80570612;0.15322876;5.820007324;25157;10824;2414;1401;841;248;216;133;80;30;30;14;9;3;8;4;41408
00:23;25.40313339;867.2332764;30.37788486;0.153137207;4.920654297;24973;9575;2804;2011;1537;884;830;654;517;352;352;216;166;81;16;3;44968
00:24;25.34851646;867.3617554;30.46785807;0.153198242;5.177612305;24265;8903;2536;1743;1278;703;652;515;388;289;289;173;121;55;10;5;41920
00:25;25.28310204;867.1047974;30.40572209;0.153137207;5.434570313;24381;8903;2291;1517;1080;503;464;365;259;181;181;103;77;27;15;2;40347
00:26;25.23644829;866.7193604;30.8669128;0.152954102;5.69152832;18261;6984;1675;1022;648;216;186;122;78;36;36;16;12;5;13;3;29310
00:27;25.16845131;867.6187134;30.24986875;0.152954102;5.049133301;27247;10889;3277;2341;1784;1007;947;776;596;410;410;243;174;76;7;2;50184
00:28;25.0953064;867.2332764;30.74548766;0.153106689;4.920654297;20152;7936;1918;1188;770;298;263;152;92;56;56;31;25;4;10;1;32951
00:29;25.04696846;867.8756714;30.68176867;0.152801514;4.663696289;20054;7509;1814;1119;741;242;215;143;77;37;37;17;12;3;20;2;32040
00:30;24.98666763;869.1604614;30.00024566;0.152984619;5.820007324;26980;11575;3798;2734;2114;1183;1110;900;697;458;458;271;211;111;13;0;52613
00:31;24.93292046;868.0041504;30.74937314;0.153045654;5.948486328;24872;9810;2571;1669;1143;477;427;309;206;127;127;76;60;33;15;2;41922
00:32;24.90951729;867.4902344;30.87211098;0.152862549;5.820007324;27629;11450;3047;2052;1432;675;623;473;359;239;239;133;104;45;14;1;48514
00:33;24.90681648;868.5180664;30.67342099;0.152923584;5.177612305;28914;12277;3129;2092;1431;600;527;367;271;176;176;106;83;38;13;0;50200
00:34;24.8781395;868.7750244;30.68576148;0.152954102;4.663696289;24400;9577;2265;1449;926;305;263;171;99;45;45;18;15;7;10;1;39595
00:35;24.84238815;868.2611084;30.84436501;0.152862549;5.177612305;27356;11297;2773;1796;1276;536;481;338;234;144;144;91;67;38;13;0;46584
00:36;24.79030228;867.8756714;30.79645056;0.152923584;5.563049316;28356;12043;3387;2379;1749;882;814;663;511;358;358;217;155;66;9;2;51947
00:37;24.74322701;868.3895874;30.97973997;0.152770996;5.049133301;20882;7983;1951;1263;830;316;284;180;122;72;72;50;36;7;17;1;34065
00:38;24.70168114;868.1326294;31.1442886;0.152709961;4.920654297;27141;11145;3499;2530;1909;1099;1028;844;669;475;475;287;212;89;11;3;51413
00:39;24.64315033;868.1326294;30.771886;0.152618408;5.434570313;24479;9951;3055;2209;1653;937;862;696;543;352;352;217;156;67;11;3;45540
00:40;24.59568024;868.5180664;30.85539071;0.152435303;5.820007324;21533;7916;1769;1097;708;220;194;128;64;24;24;9;9;3;17;1;33715
00:41;24.53881264;868.3895874;30.9439546;0.152709961;5.563049316;27942;11475;3380;2297;1672;840;774;606;469;312;312;170;140;57;8;2;50454
00:42;24.48837662;869.0319824;30.90437478;0.152709961;5.306091309;21323;7696;1813;1149;805;340;310;230;154;99;99;62;50;23;19;1;34172
00:43;24.42378044;868.3895874;30.95961618;0.152770996;4.792175293;22951;8177;1909;1184;809;317;284;205;130;84;84;48;44;35;18;3;36279
00:44;24.37243271;868.3895874;31.14399081;0.152862549;5.434570313;24995;10173;2839;1937;1456;772;725;588;465;328;328;207;161;76;12;2;45062
00:45;24.32532883;869.2889404;30.97980446;0.152893066;4.920654297;25729;10078;2752;1879;1326;620;568;444;334;211;211;128;91;42;5;3;44418
00:46;24.25338173;868.2611084;30.98565945;0.152770996;5.177612305;27982;11702;3596;2565;1974;1148;1081;859;645;459;459;300;226;95;6;2;53097
00:47;24.19339752;868.9035034;30.93631938;0.152862549;5.177612305;21929;8249;1867;1145;777;274;238;158;92;47;47;34;25;13;14;0;34909
00:48;24.1460247;869.8028564;30.787847;0.152770996;5.434570313;26710;11689;3806;2771;2092;1229;1155;917;721;472;472;274;191;86;8;2;52593
00:49;24.09903526;868.5180664;31.62576677;0.152770996;5.049133301;23842;9333;2228;1443;964;409;360;242;174;103;103;53;42;13;9;1;39318
00:50;24.05075264;868.5180664;31.81933006;0.152618408;4.920654297;26267;10308;2683;1678;1144;446;402;291;190;117;117;68;52;28;5;2;43796
00:51;24.01251221;868.6465454;31.64683888;0.152862549;5.820007324;25146;10026;2919;1970;1457;700;640;507;379;253;253;149;118;56;9;0;44582
00:52;23.97220993;868.1326294;32.29036718;0.153076172;5.434570313;26037;11074;3292;2316;1721;935;867;680;519;358;358;207;151;71;10;1;48596
00:53;23.93486595;869.0319824;31.76423861;0.152648926;5.049133301;27081;11776;3779;2647;2015;1144;1057;859;676;459;459;274;199;87;15;2;52527
00:54;23.91117096;870.3167725;31.45689867;0.152618408;5.434570313;25163;9833;2423;1551;1035;448;402;289;200;127;127;76;60;23;13;4;41770
00:55;23.90241241;868.9035034;31.84056655;0.152862549;5.434570313;23425;9014;2062;1256;837;290;260;163;98;57;57;31;22;4;5;2;37581
00:56;23.91078377;869.2889404;31.53888742;0.152770996;4.149780273;20930;7507;1720;1083;719;245;221;139;85;35;35;19;14;4;10;0;32766
00:57;23.93061638;869.1604614;31.64601349;0.152496338;4.160461426;26364;11047;3762;2748;2141;1320;1254;1033;817;567;567;325;236;111;8;1;52300
00:58;23.95482445;869.5458984;31.63291351;0.152160645;4.545898438;24841;10267;3083;2194;1661;944;874;720;570;391;391;242;190;82;17;1;46467
00:59;23.97748756;869.1604614;31.63315705;0.152130127;4.160461426;25360;10169;2798;1839;1298;623;563;443;326;187;187;108;90;47;13;0;44051
01:00;24.02693367;869.0319824;31.07233904;0.152252197;4.031982422;23782;9227;2194;1354;898;314;274;193;122;75;75;41;30;19;17;2;38615
01:01;24.07148361;868.7750244;31.73389239;0.152252197;4.775024414;21087;8214;1863;1120;725;251;213;135;78;34;34;17;11;3;14;2;33799
01:02;24.12632751;869.5458984;31.11305158;0.152282715;4.545898438;26016;10442;3112;2201;1660;933;874;735;567;373;373;237;166;79;14;4;47782
01:03;24.18618965;869.6743774;31.22843825;0.152038574;4.674377441;26071;10758;3601;2643;2057;1204;1128;964;739;520;520;315;235;98;12;2;50865
01:04;24.23806381;868.6465454;31.83529736;0.152008057;4.64654541;24883;10057;2825;1973;1433;734;670;521;382;247;247;159;120;61;15;0;44327
01:05;24.30409431;869.1604614;31.40059649;0.152038574;4.160461426;23447;9211;2705;1893;1408;796;741;609;461;320;320;182;145;91;14;3;42343
01:06;24.37178993;868.2611084;31.63662809;0.152191162;4.261108398;25949;10814;3510;2574;1972;1123;1044;865;683;459;459;274;191;90;5;0;50012
01:07;24.42519569;868.3895874;31.43000114;0.152191162;4.389587402;24808;10031;2831;1962;1462;772;717;574;441;308;308;197;146;63;10;0;44630
01:08;24.49326515;867.8756714;31.40222677;0.151947021;4.875671387;25804;10335;2940;2033;1525;849;792;651;518;358;358;206;143;71;4;1;46587
01:09;24.55566788;868.2611084;31.23844531;0.152038574;4.261108398;25246;10017;3093;2184;1653;939;880;718;557;384;384;230;167;76;7;1;46535
01:10;24.62475395;868.7750244;30.82392784;0.152191162;4.775024414;24357;8981;2387;1571;1134;545;499;405;290;197;197;125;87;37;8;1;40820
01:11;24.69036102;868.5180664;31.00496484;0.152099609;4.518066406;37770;18673;5560;3763;2677;1142;1031;751;542;334;334;189;128;58;7;1;72959
01:12;24.75724602;868.5180664;30.79744568;0.152374268;4.518066406;23408;9271;2317;1443;938;383;324;214;138;78;78;43;34;21;10;1;38700
01:13;24.81370735;868.1326294;30.80077446;0.15246582;4.132629395;27691;11089;2819;1803;1237;452;405;279;186;116;116;61;46;18;6;1;46324
01:14;24.85293388;868.3895874;30.95038165;0.152099609;4.389587402;25331;10780;3090;2124;1588;854;804;624;493;338;338;221;161;69;10;2;46825
01:15;24.89691544;867.8756714;30.70366057;0.152435303;4.875671387;22267;8398;1972;1238;795;305;259;173;98;53;53;25;14;6;12;1;35668
01:16;24.95066643;868.1326294;30.9081506;0.15222168;4.132629395;30972;13861;4670;3406;2632;1576;1478;1209;932;667;667;369;267;122;6;3;62834
01:17;24.99913788;868.5180664;30.66718765;0.152313232;4.518066406;23703;9215;2460;1622;1163;564;518;394;287;186;186;104;72;40;13;0;40527
01:18;25.05429459;868.2611084;30.80548043;0.151763916;4.261108398;22467;8594;1956;1201;793;299;263;166;100;53;53;33;27;13;14;1;36032
01:19;25.1252594;867.4902344;30.98186804;0.152069092;4.490234375;26259;10983;3351;2324;1724;925;872;697;524;348;348;202;145;71;3;3;48776
01:20;25.18297768;867.6187134;30.90832685;0.151794434;4.618713379;27528;12683;4555;3414;2697;1666;1578;1338;1095;773;773;465;360;165;10;0;59100
01:21;25.24441719;868.0041504;30.60264839;0.152038574;4.004150391;28226;11968;3231;2144;1532;750;689;547;388;264;264;163;133;56;11;1;50366
01:22;25.29184151;867.3617554;30.27651925;0.152008057;4.361755371;19995;7582;1746;1030;668;245;213;134;78;30;30;13;9;5;15;2;31793
01:23;25.36239624;867.6187134;30.21051106;0.151824951;4.618713379;18764;6957;1675;1006;646;229;196;120;61;22;22;9;4;3;14;2;29728
01:24;25.41392517;866.9763184;30.41661857;0.151702881;4.976318359;19937;7024;1579;973;629;234;200;133;74;28;28;8;7;1;11;0;30866
01:25;25.46532249;867.2332764;30.74671165;0.15145874;4.233276367;27337;12036;4481;3339;2679;1653;1550;1314;1034;719;719;426;303;139;14;1;57743
01:26;25.52853584;868.1326294;29.82475725;0.151580811;4.132629395;24200;9428;2677;1825;1336;661;611;469;350;244;244;138;109;44;9;2;42345
01:27;25.57337189;866.7193604;30.51106655;0.151885986;4.719360352;24603;9583;2517;1743;1236;598;547;430;310;203;203;123;99;51;4;2;42250
01:28;25.60715866;867.8756714;30.04031419;0.151580811;4.875671387;21994;8192;2206;1471;1098;545;497;374;264;186;186;118;78;35;8;0;37252
01:29;25.62270164;868.5180664;29.85310112;0.151763916;4.518066406;21820;9134;3226;2438;1978;1318;1248;1067;859;629;629;401;310;145;10;0;45212
01:30;25.60818672;866.4624023;30.52250878;0.15133667;6.462402344;23424;8719;2109;1381;956;386;355;257;170;99;99;59;41;17;6;2;38078
01:31;25.61743546;866.4624023;30.30631621;0.151519775;4.462402344;20502;7584;1822;1119;723;237;209;127;85;36;36;10;7;2;12;1;32511
01:32;25.59148598;868.0041504;29.88361707;0.151641846;4.004150391;24567;9724;2674;1739;1217;591;545;417;302;194;194;102;72;39;11;1;42388
01:33;25.56309509;866.3339233;30.61119444;0.151794434;4.33392334;24850;10060;2618;1705;1147;528;480;349;253;172;172;110;84;40;13;1;42581
01:34;25.54446602;867.3617554;29.9727167;0.151916504;4.361755371;23304;9770;3061;2237;1763;1102;1038;877;692;495;495;336;268;121;9;2;45568
01:35;25.50451088;867.8756714;29.95681879;0.151977539;4.875671387;21722;8323;2126;1395;994;473;424;321;229;150;150;87;71;29;14;1;36508
01:36;25.46879196;868.2611084;29.88840314;0.152160645;4.261108398;19491;7585;1840;1138;744;257;223;127;65;33;33;12;11;2;11;1;31572
01:37;25.4314003;866.9763184;30.5240606;0.152008057;4.976318359;23230;9215;2127;1300;834;268;226;146;83;37;37;11;8;2;12;2;37536
01:38;25.3844986;866.4624023;30.67030804;0.151916504;4.462402344;25464;10316;2952;2051;1528;778;730;574;423;266;266;158;120;54;9;2;45689
01:39;25.33785248;867.2332764;30.57916416;0.151763916;4.233276367;25319;10602;3167;2241;1692;907;840;680;533;333;333;213;164;73;11;1;47108
01:40;25.29441261;868.1326294;30.05607985;0.151885986;4.132629395;24188;9267;2296;1493;1015;476;424;329;226;143;143;98;79;31;11;0;40219
01:41;25.25624084;866.0769653;30.89023288;0.152069092;6.076965332;24908;9881;2643;1742;1277;604;551;394;260;165;165;104;78;42;10;1;42824
01:42;25.20418549;867.6187134;30.37730395;0.151885986;4.618713379;25814;10096;2863;1973;1445;750;700;562;418;266;266;151;102;43;7;2;45456
01:43;25.1715374;868.2611084;30.20735853;0.151702881;4.261108398;24529;10097;3104;2168;1667;974;904;704;537;377;377;251;183;83;13;2;45968
01:44;25.1334877;867.1047974;30.88368801;0.151947021;7.104797363;23487;9223;2304;1490;1022;454;407;286;195;125;125;73;54;29;18;2;39292
01:45;25.11112022;867.6187134;30.56186368;0.152069092;7.618713379;25704;10209;3096;2192;1662;895;837;683;553;369;369;200;133;55;11;1;46968
01:46;25.10828972;867.4902344;30.82661214;0.15222168;7.490234375;25714;10515;3074;2113;1539;783;725;538;400;281;281;172;121;49;7;1;46312
01:47;25.11870384;868.3895874;30.06245173;0.151916504;4.389587402;22077;8604;2195;1409;969;393;351;246;167;101;101;55;41;20;10;2;36739
01:48;25.14389992;867.1047974;30.645238;0.152282715;7.104797363;24332;10141;3098;2226;1689;930;864;723;565;396;396;241;171;82;3;1;45857
01:49;25.15405464;867.8756714;30.27973231;0.151885986;7.875671387;20566;7745;1893;1191;752;269;230;139;79;45;45;24;17;6;9;0;33010
01:50;25.19351768;866.7193604;30.77404061;0.151947021;4.719360352;20543;7584;1745;1043;694;235;206;119;70;36;36;8;7;1;9;4;32336
01:51;25.2334919;867.3617554;30.30967573;0.152282715;7.361755371;21761;8723;2117;1299;856;328;284;192;125;65;65;38;25;2;12;1;35892
01:52;25.25392723;866.5908813;30.81838228;0.151977539;6.590881348;24655;10018;2684;1815;1339;650;595;493;363;224;224;135;101;47;9;1;43352
01:53;25.3000679;866.7193604;30.78333684;0.152160645;6.719360352;25564;10889;3423;2427;1825;1009;970;788;634;435;435;264;204;105;9;1;48981
01:54;25.34633255;866.0769653;30.86620336;0.152313232;6.076965332;26786;12107;2624;1563;982;292;259;160;82;34;34;13;13;3;8;1;44960
01:55;25.38758278;866.2054443;30.74898827;0.152374268;6.205444336;25763;10736;3080;2123;1570;829;776;617;471;327;327;223;174;79;8;2;47103
01:56;25.44001007;868.3895874;29.72334716;0.152404785;4.389587402;22801;9496;2803;1954;1444;780;725;574;451;305;305;184;151;70;15;3;42058
01:57;25.48549461;867.1047974;30.56921414;0.152313232;4.104797363;21843;8017;1817;1111;719;257;227;150;91;53;53;32;26;11;6;4;34413
01:58;25.54138374;866.4624023;30.68795428;0.152557373;6.462402344;24174;10219;2896;2026;1484;811;754;619;473;328;328;208;151;62;9;1;44542
01:59;25.58262253;867.8756714;29.89572845;0.152435303;7.875671387;27879;12295;3613;2511;1854;1036;971;786;615;421;421;257;195;87;8;2;52949
02:00;25.63233566;867.3617554;29.8484352;0.152374268;7.361755371;24344;10273;2614;1647;1114;465;417;306;213;129;129;78;58;36;10;0;41833
02:01;25.69579124;867.8756714;29.7898415;0.152587891;7.875671387;20506;8408;2050;1305;840;279;233;138;65;29;29;15;10;5;14;0;33926
02:02;25.74947739;866.7193604;30.44293425;0.152526855;6.719360352;26755;12404;3932;2770;2070;1108;1031;840;656;466;466;308;233;101;13;3;53153
02:03;25.793787;867.8756714;29.59803399;0.152526855;7.875671387;22828;9164;2240;1391;929;340;300;188;116;75;75;51;44;22;11;2;37774
02:04;25.82473564;867.1047974;30.12781939;0.152923584;7.104797363;26278;11631;3427;2398;1719;876;810;619;460;308;308;166;133;63;5;1;49201
02:05;25.83346748;867.4902344;29.72506895;0.152648926;7.490234375;24007;9851;2783;1941;1429;717;640;479;371;243;243;162;114;57;6;1;43043
02:06;25.84387016;867.4902344;29.85219518;0.152862549;7.490234375;25021;10896;3483;2490;1913;1104;1030;835;637;459;459;261;194;78;12;1;48872
02:07;25.82781792;867.2332764;29.6948289;0.152740479;7.233276367;22767;8783;2184;1444;922;316;263;174;118;75;75;40;33;11;9;1;37214
02:08;25.81009674;867.3617554;29.71797599;0.152801514;7.361755371;25655;10890;3353;2324;1726;912;853;685;518;326;326;204;149;66;11;0;47998
02:09;25.80585861;867.3617554;29.72258115;0.152923584;7.361755371;33913;16549;3829;2242;1410;430;369;232;146;79;79;47;39;25;15;1;59404
02:10;25.79943657;865.9484863;30.38301039;0.153045654;5.948486328;29200;13881;4259;3035;2229;1195;1100;887;695;475;475;298;225;100;10;3;58064
02:11;25.81048203;866.7193604;30.27126985;0.153137207;6.719360352;28365;13020;3593;2346;1632;752;679;516;380;240;240;143;113;58;11;0;52088
02:12;25.823452;866.4624023;30.30339093;0.153259277;6.462402344;26587;11496;3137;2113;1497;691;634;489;374;262;262;149;113;53;7;2;47864
02:13;25.84091759;867.4902344;29.73924321;0.153106689;7.490234375;24004;9919;2844;1942;1408;698;652;518;383;276;276;165;117;50;10;2;43262
02:14;25.86903954;867.4902344;29.88490509;0.15322876;7.490234375;28294;13079;4162;2951;2243;1301;1224;1020;793;565;565;329;219;84;7;0;56836
02:15;25.90820313;867.4902344;30.01397359;0.153137207;7.490234375;29197;13152;3450;2272;1626;820;758;606;453;294;294;170;130;50;8;1;53280
02:16;25.94133186;866.9763184;29.74465746;0.152893066;6.976318359;25500;10450;2617;1686;1169;496;448;333;233;146;146;84;67;35;5;0;43415
02:17;25.9571228;866.4624023;30.26633593;0.152954102;6.462402344;25773;10747;2665;1704;1205;543;501;400;315;202;202;127;106;59;10;1;44559
02:18;26.00822449;867.2332764;29.83538993;0.152954102;7.233276367;22352;8560;1893;1185;806;282;237;149;88;47;47;27;17;6;4;1;35700
02:19;26.04789352;867.4902344;29.43572402;0.152984619;7.490234375;26727;11887;3860;2817;2186;1219;1138;926;699;462;462;265;214;99;5;0;52966
02:20;26.08704758;866.9763184;29.68472964;0.152893066;6.976318359;26219;11565;3954;2883;2226;1339;1266;1034;820;535;535;307;222;106;9;0;53020
02:21;26.12234879;866.9763184;29.36104685;0.153198242;6.976318359;20314;8134;2120;1377;924;406;359;267;178;107;107;70;57;30;11;0;34461
02:22;26.1689415;866.7193604;29.49902834;0.1534729;6.719360352;23634;9262;2522;1723;1262;662;607;472;359;242;242;148;122;61;7;0;41325
02:23;26.20244217;867.6187134;29.4310993;0.153625488;7.618713379;22708;9068;2542;1758;1267;662;615;486;371;232;232;129;91;41;6;0;40208
02:24;26.2460804;866.9763184;29.36236281;0.153869629;6.976318359;23234;9747;3078;2245;1747;1047;972;806;622;413;413;254;188;88;6;1;44860
02:25;26.27585411;867.1047974;29.15915591;0.153808594;7.104797363;21903;8467;2430;1683;1240;666;623;480;360;255;255;156;120;50;8;1;38696
02:26;26.31704712;865.9484863;29.48351414;0.153991699;5.948486328;22839;8963;2411;1599;1158;541;492;372;254;163;163;104;72;38;13;2;39182
02:27;26.3567009;867.4902344;29.15074979;0.154022217;7.490234375;19070;8044;1925;1199;764;265;225;145;77;41;41;20;14;2;12;4;31844
02:28;26.39147377;866.4624023;29.18789;0.154144287;6.462402344;27213;12378;4212;3044;2399;1420;1326;1121;851;602;602;361;268;105;6;1;55908
02:29;26.43779373;867.1047974;29.00579455;0.154266357;7.104797363;23745;9392;2380;1515;1024;420;377;258;172;98;98;66;51;23;9;0;39628
02:30;26.46717453;866.9763184;29.02209037;0.154144287;6.976318359;24626;10622;3267;2285;1702;939;888;718;558;376;376;220;163;81;10;1;46831
02:31;26.51387405;866.5908813;29.10277271;0.154266357;6.590881348;24152;10234;2959;2030;1500;772;722;578;451;309;309;192;144;78;14;2;44444
02:32;26.55684853;866.5908813;28.94223784;0.154388428;6.590881348;23891;10091;2905;1992;1498;834;780;639;502;343;343;213;158;79;6;2;44274
02:33;26.58891869;866.2054443;29.10883189;0.154449463;6.205444336;26345;11250;3106;2077;1472;650;589;445;328;207;207;132;100;41;6;2;46955
02:34;26.62906647;866.3339233;29.05811253;0.154266357;6.33392334;28013;12802;3977;2829;2181;1244;1150;894;684;458;458;278;207;93;11;0;55279
02:35;26.66126251;866.0769653;29.06999062;0.154632568;6.076965332;27883;12549;3533;2410;1680;800;729;567;420;265;265;159;124;57;8;1;51449
02:36;26.70923042;866.0769653;29.0191297;0.154785156;6.076965332;22661;9050;2101;1289;845;287;254;169;87;42;42;20;16;0;8;2;36871
02:37;26.74488449;866.0769653;28.9329302;0.154937744;6.076965332;27232;12646;4245;3082;2403;1433;1356;1114;868;573;573;341;248;116;12;1;56242
02:38;26.78104973;866.3339233;28.87376468;0.154907227;6.33392334;20401;7975;1905;1201;804;297;250;156;99;47;47;25;21;6;10;2;33244
02:39;26.81477547;866.0769653;28.91054214;0.154846191;6.076965332;26868;12165;3976;2892;2212;1275;1202;994;780;515;515;317;232;108;17;1;54068
02:40;26.84978104;866.3339233;28.8421344;0.154968262;6.33392334;24368;10324;2677;1724;1179;479;419;312;224;133;133;80;57;23;7;3;42139
02:41;26.88324738;865.9484863;28.89782772;0.154785156;5.948486328;24856;11291;3058;1943;1337;563;512;382;280;180;180;99;79;38;4;0;44802
02:42;26.91504478;866.2054443;28.51799317;0.154968262;6.205444336;23633;9266;2172;1334;853;299;261;161;94;48;48;20;12;5;10;0;38216
02:43;26.95812607;865.9484863;28.77828502;0.154663086;5.948486328;27275;12186;3353;2208;1548;704;648;500;354;236;236;153;117;50;8;1;49576
02:44;26.98466301;865.9484863;28.88030442;0.15512085;5.948486328;23315;10229;2607;1621;1038;336;277;182;108;52;52;28;19;8;7;1;39879
02:45;27.0101738;865.9484863;28.83414039;0.154937744;5.948486328;27669;12461;3685;2449;1751;893;829;675;505;333;333;193;152;52;6;2;51986
02:46;27.05298996;866.5908813;28.21528702;0.155059814;6.590881348;21547;8891;2497;1700;1242;605;545;433;319;200;200;125;95;40;7;0;38446
02:47;27.08913803;865.9484863;28.64409843;0.155151367;5.948486328;23484;9685;2810;1873;1366;669;616;483;362;231;231;144;105;48;6;0;42113
02:48;27.09759712;865.4345703;28.87247363;0.155059814;5.434570313;23776;10016;2993;2075;1567;856;796;646;480;316;316;198;143;72;2;1;44252
02:49;27.10733986;865.6915283;28.67156034;0.154907227;5.69152832;23245;9363;2528;1612;1101;479;425;315;220;138;138;85;66;26;8;0;39749
02:50;27.13643646;866.0769653;28.18234777;0.155151367;6.076965332;22333;9294;2538;1684;1170;539;481;360;264;169;169;101;69;44;12;1;39227
02:51;27.15091896;866.2054443;28.04932953;0.155273438;6.205444336;24368;10646;3142;2156;1617;794;723;584;444;305;305;171;128;66;11;2;45460
02:52;27.17604065;866.2054443;28.33343484;0.15512085;6.205444336;24304;10423;3173;2260;1696;947;890;727;569;384;384;237;181;87;8;2;46270
02:53;27.19705963;865.9484863;28.61076663;0.155334473;5.948486328;24130;10287;3295;2355;1820;1017;947;785;621;437;437;250;200;70;6;2;46657
02:54;27.20974731;865.8200073;28.15820603;0.155487061;5.820007324;25254;11521;4121;3043;2433;1530;1445;1170;901;634;634;366;285;115;9;1;53461
02:55;27.24652672;865.4345703;28.70191541;0.155456543;5.434570313;25276;11111;3004;1936;1346;637;576;417;315;198;198;109;85;42;6;1;45256
02:56;27.26459694;866.0769653;27.91873319;0.155761719;6.076965332;25335;11049;3220;2233;1659;898;839;670;520;354;354;212;154;67;11;2;47575
02:57;27.27882004;866.2054443;28.21593964;0.155822754;6.205444336;22843;9217;2257;1426;944;342;300;212;133;81;81;49;41;23;6;0;37955
02:58;27.30765152;866.4624023;28.23999315;0.155731201;6.462402344;24266;10058;2661;1724;1203;547;483;371;269;165;165;108;89;36;7;1;42152
02:59;27.33097458;866.2054443;27.82551921;0.155883789;6.205444336;22714;11186;4146;3089;2425;1468;1394;1163;942;668;668;405;300;151;7;2;50726
03:00;27.35826492;866.2054443;27.83245035;0.155853271;6.205444336;21704;9858;2796;1881;1316;582;521;407;300;172;172;95;73;43;6;1;39926
03:01;27.37620354;866.4624023;27.84101502;0.155883789;6.462402344;26088;11782;3923;2851;2203;1276;1184;963;766;509;509;296;208;104;9;1;52671
03:02;27.3951664;865.6915283;27.98753837;0.155761719;5.69152832;20131;7967;1920;1162;765;290;250;155;86;35;35;14;9;1;6;3;32826
03:03;27.43296242;866.4624023;27.81507908;0.155731201;6.462402344;26562;11500;3047;1949;1346;530;478;346;231;141;141;86;62;32;7;1;46458
03:04;27.4473114;866.3339233;27.94563794;0.155883789;6.33392334;25359;10867;2750;1731;1202;457;409;310;206;117;117;63;51;21;5;1;43665
03:05;27.46088982;865.8200073;28.23532838;0.155944824;5.820007324;25458;11357;3298;2288;1691;898;835;670;520;373;373;204;161;79;4;2;48209
